suburb,livable,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation,BUS,TRAM STATION,TRAIN STATION
THORNBURY,9.6,14.0,1.0,5.0,1.0,0.0,0.0,0.0,78.0,60.0,17.0,1.0
BALWYN,9.6,12.0,1.0,12.0,1.0,1.0,0.0,0.0,52.0,44.0,8.0,0.0
BURWOOD,9.6,20.0,0.0,1.0,1.0,1.0,0.0,0.0,81.0,62.0,19.0,0.0
DONCASTER,9.5,13.0,2.0,2.0,1.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0
TORQUAY,9.5,11.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BRUNSWICK EAST,9.350000000000001,5.0,1.0,15.0,0.0,0.0,0.0,0.0,52.0,33.0,19.0,0.0
TEMPLESTOWE,9.350000000000001,8.0,0.0,5.0,2.0,0.0,0.0,0.0,117.0,117.0,0.0,0.0
HAMPTON PARK,9.350000000000001,17.0,1.0,1.0,1.0,0.0,0.0,0.0,103.0,103.0,0.0,0.0
BELMONT,9.3,11.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALLACOOTA,9.3,4.0,5.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ASCOT VALE,9.25,10.0,1.0,6.0,2.0,0.0,0.0,0.0,70.0,45.0,24.0,1.0
MITCHAM,9.15,14.0,1.0,4.0,1.0,0.0,0.0,0.0,92.0,91.0,0.0,1.0
LANGWARRIN,9.15,15.0,0.0,6.0,1.0,0.0,0.0,0.0,83.0,83.0,0.0,0.0
MORWELL,9.100000000000001,21.0,1.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PORTLAND,9.100000000000001,14.0,6.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAYTON,9.1,12.0,2.0,3.0,5.0,1.0,0.0,0.0,81.0,80.0,0.0,1.0
MOOROOLBARK,9.05,21.0,1.0,3.0,1.0,1.0,0.0,0.0,66.0,65.0,0.0,1.0
CARRUM DOWNS,8.95,13.0,0.0,3.0,1.0,0.0,0.0,0.0,105.0,105.0,0.0,0.0
THOMASTOWN,8.9,14.0,1.0,0.0,2.0,0.0,0.0,0.0,107.0,106.0,0.0,1.0
EAST MELBOURNE,8.85,2.0,1.0,17.0,1.0,1.0,0.0,0.0,32.0,9.0,21.0,2.0
