suburb,livable,UNIVERSITY,Commercial,Environment,Medication,Secrity,Transportation,BUS,TRAM STATION,TRAIN STATION
WARRNAMBOOL,3.5500000000000003,0.0,3.0,23.0,6.0,1.0,0.0,0.0,0.0,0.0
PRAHRAN,3.55,0.0,1.0,0.0,1.0,0.0,39.0,13.0,25.0,1.0
BRAYBROOK,3.55,0.0,1.0,9.0,0.0,0.0,47.0,47.0,0.0,0.0
SCORESBY,3.45,0.0,1.0,5.0,0.0,0.0,53.0,53.0,0.0,0.0
ALBERT PARK,3.45,0.0,2.0,5.0,1.0,0.0,27.0,8.0,19.0,0.0
BENTLEIGH,3.4499999999999997,0.0,2.0,0.0,2.0,1.0,54.0,52.0,0.0,2.0
TEMPLESTOWE LOWER,3.4000000000000004,0.0,0.0,2.0,1.0,0.0,63.0,63.0,0.0,0.0
ELWOOD,3.3,0.0,1.0,5.0,0.0,1.0,44.0,39.0,5.0,0.0
PORTLAND,3.3,0.0,6.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0
BOX HILL NORTH,3.25,0.0,0.0,3.0,1.0,0.0,58.0,58.0,0.0,0.0
CARLTON NORTH,3.25,0.0,1.0,3.0,0.0,0.0,37.0,21.0,16.0,0.0
TULLAMARINE,3.25,0.0,1.0,2.0,0.0,0.0,55.0,55.0,0.0,0.0
HEALESVILLE,3.25,0.0,1.0,8.0,1.0,1.0,41.0,41.0,0.0,0.0
MERNDA,3.2,0.0,0.0,0.0,0.0,0.0,64.0,63.0,0.0,1.0
SANDRINGHAM,3.2,0.0,1.0,5.0,2.0,1.0,45.0,44.0,0.0,1.0
DONVALE,3.2,0.0,0.0,3.0,0.0,0.0,58.0,58.0,0.0,0.0
VERMONT,3.1500000000000004,0.0,1.0,3.0,0.0,0.0,51.0,51.0,0.0,0.0
MURRUMBEENA,3.1000000000000005,0.0,1.0,3.0,0.0,1.0,49.0,48.0,0.0,1.0
DOVETON,3.0500000000000003,0.0,0.0,11.0,1.0,1.0,37.0,37.0,0.0,0.0
CORIO,3.0500000000000003,0.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0
MAIDSTONE,3.0500000000000003,0.0,0.0,11.0,1.0,1.0,36.0,35.0,1.0,0.0
KNOXFIELD,3.0,0.0,0.0,3.0,1.0,0.0,53.0,53.0,0.0,0.0
HALLAM,3.0,0.0,0.0,2.0,1.0,0.0,55.0,54.0,0.0,1.0
KEW EAST,3.0,0.0,1.0,4.0,0.0,0.0,37.0,28.0,9.0,0.0
BLAIRGOWRIE,2.95,0.0,0.0,16.0,0.0,0.0,27.0,27.0,0.0,0.0
SALE,2.95,0.0,3.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0
KEILOR DOWNS,2.95,0.0,0.0,7.0,1.0,0.0,44.0,44.0,0.0,0.0
KURUNJANG,2.9000000000000004,0.0,0.0,10.0,1.0,0.0,37.0,37.0,0.0,0.0
MOORABBIN,2.9,0.0,0.0,2.0,0.0,1.0,53.0,52.0,0.0,1.0
DIAMOND CREEK,2.9,0.0,0.0,6.0,2.0,1.0,43.0,42.0,0.0,1.0
WANTIRNA,2.8,0.0,1.0,2.0,1.0,0.0,45.0,45.0,0.0,0.0
GEELONG,2.8,0.0,6.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0
HIGHETT,2.8,0.0,1.0,3.0,0.0,0.0,44.0,43.0,0.0,1.0
HARKNESS,2.75,0.0,0.0,9.0,0.0,0.0,37.0,37.0,0.0,0.0
ASHBURTON,2.75,0.0,1.0,10.0,0.0,1.0,28.0,26.0,0.0,2.0
WARRANDYTE,2.75,0.0,0.0,3.0,1.0,1.0,47.0,47.0,0.0,0.0
LAVERTON,2.7,0.0,1.0,12.0,1.0,1.0,22.0,20.0,0.0,2.0
ROSANNA,2.7,0.0,1.0,2.0,1.0,0.0,43.0,42.0,0.0,1.0
CHIRNSIDE PARK,2.7,0.0,0.0,2.0,1.0,0.0,49.0,49.0,0.0,0.0
HADFIELD,2.6999999999999997,0.0,0.0,5.0,0.0,0.0,44.0,43.0,0.0,1.0
PORTSEA,2.6500000000000004,0.0,1.0,17.0,0.0,0.0,13.0,13.0,0.0,0.0
KENSINGTON,2.6,0.0,0.0,9.0,3.0,0.0,26.0,19.0,5.0,2.0
ABBOTSFORD,2.6,0.0,2.0,1.0,0.0,1.0,26.0,13.0,11.0,2.0
NEWTOWN,2.6,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPEL SOUND,2.5999999999999996,0.0,0.0,4.0,1.0,0.0,43.0,43.0,0.0,0.0
BELMONT,2.5500000000000003,0.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0
FRANKSTON NORTH,2.5500000000000003,0.0,0.0,6.0,1.0,0.0,38.0,38.0,0.0,0.0
FAIRFIELD,2.5500000000000003,0.0,1.0,1.0,2.0,0.0,41.0,40.0,0.0,1.0
SOMERS,2.5500000000000003,0.0,0.0,14.0,0.0,0.0,23.0,23.0,0.0,0.0
AVONDALE HEIGHTS,2.55,0.0,1.0,1.0,0.0,1.0,42.0,42.0,0.0,0.0
TORQUAY,2.45,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0
MOUNT EVELYN,2.45,0.0,0.0,2.0,0.0,1.0,44.0,44.0,0.0,0.0
HEIDELBERG,2.4000000000000004,0.0,1.0,6.0,2.0,1.0,27.0,26.0,0.0,1.0
MONTROSE,2.4,0.0,0.0,4.0,0.0,0.0,40.0,40.0,0.0,0.0
HEATHERTON,2.3500000000000005,0.0,0.0,6.0,1.0,0.0,34.0,34.0,0.0,0.0
FLEMINGTON,2.35,0.0,1.0,4.0,1.0,1.0,18.0,4.0,13.0,1.0
KEILOR,2.35,0.0,0.0,7.0,1.0,0.0,32.0,32.0,0.0,0.0
CANTERBURY,2.35,0.0,1.0,9.0,1.0,0.0,21.0,19.0,1.0,1.0
STRATHMORE,2.3000000000000003,0.0,0.0,2.0,0.0,0.0,42.0,42.0,0.0,0.0
SYDENHAM,2.3000000000000003,0.0,0.0,7.0,2.0,0.0,30.0,30.0,0.0,0.0
MARYBOROUGH,2.3000000000000003,0.0,2.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0
ORMOND,2.2500000000000004,0.0,1.0,2.0,0.0,0.0,35.0,34.0,0.0,1.0
PARKDALE,2.25,0.0,0.0,4.0,3.0,0.0,34.0,33.0,0.0,1.0
MOUNT DANDENONG,2.25,0.0,0.0,4.0,0.0,0.0,37.0,37.0,0.0,0.0
RUTHERGLEN,2.15,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COOLAROO,2.15,0.0,0.0,1.0,0.0,0.0,41.0,40.0,0.0,1.0
CAMPBELLFIELD,2.15,0.0,0.0,1.0,0.0,0.0,41.0,40.0,0.0,1.0
WINDSOR,2.1,0.0,1.0,0.0,0.0,0.0,22.0,7.0,14.0,1.0
GLADSTONE PARK,2.1,0.0,1.0,2.0,0.0,0.0,32.0,32.0,0.0,0.0
MACLEOD,2.1,0.0,0.0,1.0,2.0,0.0,38.0,37.0,0.0,1.0
HEATHMONT,2.1,0.0,0.0,9.0,4.0,0.0,20.0,19.0,0.0,1.0
TOOTGAROOK,2.1,0.0,0.0,5.0,1.0,0.0,31.0,31.0,0.0,0.0
BROOKFIELD,2.0500000000000003,0.0,0.0,8.0,1.0,0.0,24.0,24.0,0.0,0.0
CHELSEA,2.0500000000000003,0.0,1.0,1.0,2.0,1.0,30.0,29.0,0.0,1.0
NIDDRIE,2.0500000000000003,0.0,1.0,0.0,0.0,0.0,31.0,27.0,4.0,0.0
TYABB,2.0500000000000003,0.0,1.0,9.0,1.0,0.0,16.0,15.0,0.0,1.0
HIGHTON,2.05,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
ARARAT,2.05,0.0,3.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0
WATSONIA,2.0,0.0,0.0,4.0,1.0,0.0,31.0,30.0,0.0,1.0
CLARINDA,2.0,0.0,0.0,1.0,1.0,0.0,37.0,37.0,0.0,0.0
WESTMEADOWS,2.0,0.0,0.0,1.0,1.0,1.0,36.0,36.0,0.0,0.0
HUGHESDALE,1.9500000000000002,0.0,0.0,0.0,1.0,0.0,38.0,38.0,0.0,0.0
MICKLEHAM,1.9500000000000002,0.0,0.0,3.0,0.0,0.0,33.0,33.0,0.0,0.0
VIEWBANK,1.9500000000000002,0.0,0.0,6.0,1.0,0.0,26.0,26.0,0.0,0.0
UPWEY,1.9500000000000002,0.0,0.0,2.0,1.0,0.0,34.0,33.0,0.0,1.0
DELAHEY,1.95,0.0,0.0,2.0,0.0,0.0,35.0,35.0,0.0,0.0
BAIRNSDALE,1.9000000000000004,0.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
COLLINGWOOD,1.9000000000000004,0.0,1.0,0.0,2.0,0.0,21.0,12.0,9.0,0.0
EDITHVALE,1.8500000000000003,0.0,0.0,3.0,1.0,0.0,30.0,29.0,0.0,1.0
ASHWOOD,1.85,0.0,0.0,3.0,0.0,0.0,31.0,31.0,0.0,0.0
CLIFTON HILL,1.85,0.0,0.0,7.0,0.0,0.0,20.0,16.0,3.0,1.0
LARA,1.85,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0
DERRIMUT,1.8000000000000003,0.0,0.0,6.0,0.0,0.0,24.0,24.0,0.0,0.0
MORWELL,1.8,0.0,1.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0
LEOPOLD,1.8,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
ALBION,1.7500000000000002,0.0,0.0,5.0,2.0,0.0,23.0,22.0,0.0,1.0
MONTMORENCY,1.7500000000000002,0.0,0.0,2.0,1.0,0.0,30.0,29.0,0.0,1.0
OCEAN GROVE,1.75,0.0,1.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0
ALPHINGTON,1.7000000000000002,0.0,0.0,3.0,1.0,0.0,27.0,26.0,0.0,1.0
BROOKLYN,1.6500000000000001,0.0,0.0,3.0,0.0,0.0,27.0,27.0,0.0,0.0
AINTREE,1.6500000000000001,0.0,0.0,7.0,0.0,0.0,19.0,19.0,0.0,0.0
BURNSIDE,1.6500000000000001,0.0,0.0,7.0,0.0,0.0,19.0,19.0,0.0,0.0
WARRAGUL,1.6500000000000001,0.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0
SHEPPARTON,1.65,0.0,1.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0
MCCRAE,1.6,0.0,0.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0
WINCHELSEA,1.6,0.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
MYRTLEFORD,1.6,0.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
MONT ALBERT,1.6,0.0,0.0,0.0,0.0,0.0,26.0,19.0,6.0,1.0
PARK ORCHARDS,1.6,0.0,0.0,4.0,0.0,0.0,24.0,24.0,0.0,0.0
DIGGERS REST,1.5500000000000003,0.0,0.0,9.0,0.0,0.0,13.0,12.0,0.0,1.0
