suburb,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation
NAPOLEONS,1,0,0,0,0,0,0,0
NARRAWONG,1,0,1,0,0,0,0,0
NATTE YALLOCK,1,0,0,0,0,0,0,0
NAVARRE,1,0,2,0,0,0,0,0
NANDALY,1,0,0,0,0,0,0,0
NELSON,1,0,1,0,1,0,0,0
NEWBRIDGE,1,0,2,0,0,0,0,0
POMBORNEIT NORTH,1,0,0,0,0,0,0,0
POMBORNEIT,1,0,0,0,0,0,0,0
POMONAL,1,2,3,0,0,0,0,0
PORT FAIRY,3,1,11,3,1,0,0,0
NEWLYN,1,0,0,0,0,0,0,0
PURNIM,1,0,3,0,0,0,0,0
SOUTH PURRUMBETE,2,0,1,0,0,0,0,0
QUAMBATOOK,2,0,2,0,1,0,0,0
SHEEP HILLS,1,0,0,0,0,0,0,0
LAL LAL,1,0,0,0,0,0,0,0
SHELFORD,2,0,0,0,0,0,0,0
SIMPSON,2,1,3,0,0,0,0,0
SMEATON,1,0,0,0,0,0,0,0
TIMOR,1,0,0,0,0,0,0,0
NIRRANDA,1,0,0,0,0,0,0,0
WICKLIFFE,1,0,1,0,0,0,0,0
STRATHDOWNIE,2,0,1,0,0,0,0,0
WILKUR,1,0,0,0,0,0,0,0
WILLENABRINA,1,0,0,0,0,0,0,0
ALLAMBEE SOUTH,1,0,1,0,0,0,0,0
COLDSTREAM,2,0,0,0,0,0,0,20
CONGUPNA,1,0,1,0,0,0,0,0
MOUNT MERCER,1,0,1,0,0,0,0,0
KAWARREN,1,0,0,0,0,0,0,0
KENMARE,1,0,0,0,0,0,0,0
KEWELL,1,0,1,0,0,0,0,0
LUBECK,1,0,0,0,0,0,0,0
LYONS,1,0,2,0,0,0,0,0
MAILORS FLAT,1,1,0,0,0,0,0,0
FYANSFORD,1,0,0,0,0,0,0,0
KALKALLO,2,0,0,0,0,0,0,4
SHERBROOKE,1,0,3,0,0,0,0,8
GEMBROOK,2,0,6,0,0,0,0,18
RIPPLESIDE,1,3,4,0,0,0,0,0
GENOA,1,0,4,0,0,1,0,0
KEILOR PARK,2,0,2,0,0,0,0,13
KOETONG,1,1,0,0,0,0,0,0
KINGSTON,1,0,0,0,0,0,0,0
WHROO,1,0,1,0,0,0,0,0
LANGLEY,1,0,0,0,0,0,0,0
LAUNCHING PLACE,2,0,0,0,0,0,0,12
MITRE,1,0,0,0,0,0,0,0
NORMANVILLE,1,0,0,0,0,0,0,0
NULLAWARRE NORTH,1,0,0,0,0,0,0,0
NYAH,1,0,0,0,0,0,0,0
TOWAN,1,0,0,0,1,0,0,0
REDBANK,1,1,0,0,0,0,0,0
SPEED,1,1,0,0,1,0,0,0
TRESCO,1,0,0,0,0,0,0,0
TYNTYNDER,2,0,0,0,0,0,0,0
ULTIMA,1,1,0,0,0,0,0,0
WONWONDAH,1,0,1,0,0,0,0,0
WOODFORD,1,0,1,0,0,0,0,0
WINDERMERE,1,0,0,0,0,0,0,0
ROSS CREEK,2,0,0,0,0,0,0,0
SMYTHESDALE,2,1,1,0,1,0,0,0
ARCADIA,1,0,0,0,0,0,0,0
FISKVILLE,2,0,0,0,0,0,0,0
WEST FOOTSCRAY,6,1,8,0,1,0,0,52
FERNIHURST,1,0,0,0,0,0,0,0
FORREST,2,0,0,0,1,0,0,0
FRAMLINGHAM,1,0,1,0,0,0,0,0
HEXHAM,1,0,1,0,0,0,0,0
KIRKSTALL,1,0,0,0,0,0,0,0
PIGEON PONDS,1,0,0,0,0,0,0,0
KOORLONG,1,0,0,0,0,0,0,0
KOROIT,5,1,2,1,1,0,0,0
LAANECOORIE,1,1,1,0,0,0,0,0
JOHNSONVILLE,1,0,1,0,0,0,0,0
KALIMNA WEST,1,0,0,0,0,0,0,0
KATAMATITE,2,0,2,0,1,0,0,0
KATAMATITE EAST,1,0,0,0,0,0,0,0
KATUNGA,3,0,3,0,0,0,0,0
BOBINAWARRAH,1,0,0,0,0,0,0,0
BONEO,1,0,2,0,0,0,0,0
BONNIE DOON,1,0,6,0,0,0,0,0
BOOLARRA,2,1,2,0,1,0,0,0
GRAND RIDGE,1,0,0,0,0,0,0,0
BOORHAMAN,1,0,0,0,0,0,0,0
BOX HILL NORTH,7,0,3,1,0,0,0,58
BOWEYA,1,0,0,0,0,0,0,0
LAANG,1,0,1,0,0,0,0,0
BLACKBURN,9,2,7,0,0,0,0,77
BLOWHARD,1,0,0,0,0,0,0,0
MOUNT PLEASANT,2,0,0,0,0,0,0,0
KERGUNYAH,2,1,0,0,0,0,0,0
PATCHEWOLLOCK,2,1,1,0,0,0,0,0
WALPEUP,1,0,0,0,0,0,0,0
WANDO VALE,1,0,0,0,0,0,0,0
TALBOT,1,1,2,0,0,0,0,0
WOOMELANG,3,2,0,0,1,0,0,0
WOORINEN NORTH,2,0,0,0,0,0,0,0
WOORNDOO,1,1,0,0,0,0,0,0
MOYSTON,1,0,1,0,0,0,0,0
GRASS FLAT,1,0,0,0,0,0,0,0
WANGOOM,1,0,0,0,0,0,0,0
ASCOT VALE,10,1,6,2,0,0,0,70
PENSHURST,3,1,2,1,1,0,0,0
TATYOON,1,0,1,0,0,0,0,0
YANAC,1,0,0,0,0,0,0,0
YENDON,1,0,0,0,0,0,0,0
JAMIESON,1,0,1,0,1,0,0,0
JINDIVICK,1,0,1,0,0,0,0,0
DARTMOOR,1,0,2,0,1,0,0,0
DEAN,1,0,0,0,0,0,0,0
DEANS MARSH,1,0,1,0,0,0,0,0
GERANG GERUNG,1,0,0,0,0,0,0,0
GERANGAMETE,1,0,0,0,0,0,0,0
POOTILLA,1,0,0,0,0,0,0,0
YEODENE,1,0,1,0,0,0,0,0
INGLEWOOD,3,1,5,1,1,0,0,0
INVERMAY,1,0,0,0,0,0,0,0
IRREWILLIPE EAST,1,0,0,0,0,0,0,0
LAKE BOGA,2,1,1,0,1,0,0,0
BURRUMBEET,1,0,1,0,0,0,0,0
LAKE CHARM,1,0,2,0,0,0,0,0
LALBERT,1,0,2,0,0,0,0,0
LANDSBOROUGH WEST,1,0,0,0,0,0,0,0
LARPENT,1,0,0,0,0,0,0,0
BOISDALE,1,0,1,0,0,0,0,0
COSTERFIELD,1,1,0,0,0,0,0,0
COWWARR,1,0,0,0,0,0,0,0
COWES,4,1,4,0,1,0,0,0
CRIB POINT,2,0,7,0,0,0,0,15
DARGO,2,1,1,0,0,0,0,0
DARNUM,1,0,0,0,0,0,0,0
DARRAWEIT GUIM,1,0,0,0,0,0,0,0
DARTMOUTH,1,0,2,0,0,0,0,0
GRE GRE SOUTH,1,0,0,0,0,0,0,0
MAJORCA,1,0,1,0,0,0,0,0
MURRAYDALE,1,0,1,0,0,0,0,0
MUMBANNAR,1,0,2,0,0,0,0,0
HENTY,1,0,0,0,0,0,0,0
STRATHLEA,1,0,0,0,0,0,0,0
GLENBURN,1,0,1,0,0,0,0,0
WAUBRA,2,0,1,0,0,0,0,0
KNEBSWORTH,1,0,0,0,0,0,0,0
WEERITE,1,0,0,0,0,0,0,0
WOORAGEE,2,0,0,0,0,0,0,0
WOOREEN,1,0,0,0,0,0,0,0
WOORI YALLOCK,3,0,2,0,0,0,0,14
WHITFIELD,2,0,0,1,1,0,0,0
COOMBOONA,1,0,0,0,0,0,0,0
MOSSIFACE,1,0,0,0,0,0,0,0
TRAWALLA,1,0,1,0,0,0,0,0
WURRUK,1,0,2,0,0,0,0,0
YAN YEAN,1,0,0,0,0,0,0,12
WOOLSTHORPE,1,1,1,0,0,0,0,0
WILLAURA,2,1,2,1,1,0,0,0
WAREEK,1,0,0,0,0,0,0,0
PORTARLINGTON,2,1,8,0,1,0,0,0
WATCHEM,1,0,1,0,0,0,0,0
WATSONIA NORTH,2,0,1,0,0,0,0,22
DIXONS CREEK,1,0,0,0,0,0,0,0
BAYLES,1,0,0,0,0,0,0,0
BEECH FOREST,1,0,4,0,1,0,0,0
FLOWERDALE,1,0,0,0,0,0,0,0
EASTWOOD,2,0,1,0,0,0,0,0
LURG,1,0,0,0,0,0,0,0
LYSTERFIELD,1,0,1,0,0,0,0,15
NEWMERELLA,1,0,1,0,0,0,0,0
MAIDSTONE,4,0,11,1,1,0,0,36
NURRABIEL,1,0,0,0,0,0,0,0
NICHOLSON,1,0,4,0,0,0,0,0
NOWA NOWA,2,1,1,0,0,0,0,0
WILLOW GROVE,2,0,4,0,0,0,0,0
WILLOWMAVIN,1,0,0,0,0,0,0,0
BELLBRAE,1,0,1,0,0,0,0,0
CHELSEA,6,1,1,2,1,0,0,30
CHILDERS,1,0,0,0,0,0,0,0
MARONG,1,0,0,0,0,0,0,0
MARYSVILLE,1,0,10,0,1,1,0,3
DROUIN EAST,1,0,0,0,0,0,0,0
GORMANDALE,2,0,1,0,0,0,0,0
LONG GULLY,2,0,1,0,0,0,0,0
LYNBROOK,4,0,2,0,0,0,0,15
CORAGULAC,1,0,0,0,0,0,0,0
DUNDONNELL,1,0,1,0,0,0,0,0
GREAT WESTERN,1,4,0,0,0,0,0,0
NEWHAM,1,0,0,0,0,0,0,0
DELACOMBE,3,0,1,0,0,0,0,0
NILMA,1,0,0,0,0,0,0,0
NOOJEE,1,0,0,0,0,1,0,0
SARSFIELD,1,0,1,0,0,0,0,0
WHOROULY,3,1,0,0,0,0,0,0
WHITTINGTON,4,0,4,1,0,0,0,0
WHOROULY EAST,1,0,0,0,0,0,0,0
WARRENBAYNE,1,0,0,0,0,0,0,0
WILLUNG SOUTH,1,0,0,0,0,0,0,0
OLINDA,2,0,3,0,1,0,0,19
LANCASTER,1,0,1,0,0,0,0,0
MOYHU,2,0,0,1,1,0,0,0
NYAH WEST,2,0,0,0,1,0,0,0
SEABROOK,2,0,2,0,0,0,0,10
MEENIYAN,2,0,1,0,1,0,0,0
UNDERA,1,0,1,1,0,0,0,0
KILSYTH SOUTH,1,0,6,0,0,0,0,18
REDAN,2,0,1,0,0,0,0,0
EASTVILLE,1,0,0,0,0,0,0,0
ELINGAMITE NORTH,1,0,0,0,0,0,0,0
DEEP LEAD,1,0,0,0,0,0,0,0
RUFFY,1,0,2,0,0,0,0,0
RYE,3,2,10,0,1,0,0,73
TATURA EAST,1,0,0,0,0,0,0,0
TAWONGA,2,0,1,0,0,0,0,0
TAWONGA SOUTH,1,0,1,0,0,0,0,0
MOUNT LONARCH,1,0,0,0,0,0,0,0
BURNSIDE HEIGHTS,2,0,5,0,0,0,0,15
TALLYGAROOPNA,2,0,1,0,0,0,0,0
DEPTFORD,1,0,1,0,0,0,0,0
TAMBO UPPER,1,0,0,0,0,0,0,0
TAMINICK,1,1,0,0,0,0,0,0
TANJIL SOUTH,1,0,1,0,0,0,0,0
TARADALE,1,0,0,0,0,0,0,0
TARRAVILLE,1,0,1,0,0,0,0,0
TARWIN LOWER,2,0,3,0,0,0,0,0
LOCKINGTON,2,0,1,0,0,0,0,0
TERIP TERIP,1,0,0,0,0,0,0,0
MACCLESFIELD,1,0,0,0,0,0,0,0
MACORNA,1,0,0,0,0,0,0,0
BOGONG,1,0,0,0,0,0,0,0
BOLINDA,1,0,0,0,0,0,0,0
BONA VISTA,1,0,0,0,0,0,0,0
THORPDALE,3,1,0,0,0,0,0,0
MARKWOOD,1,0,0,0,0,0,0,0
APSLEY,1,0,0,0,1,0,0,0
BARWON DOWNS,1,0,0,0,0,0,0,0
LOCKWOOD SOUTH,1,0,0,0,0,0,0,0
LONGFORD,3,0,2,0,0,1,0,0
LONGLEA,1,0,2,0,0,0,0,0
LONGWARRY NORTH,1,0,2,0,0,0,0,0
LONGWARRY,3,1,1,0,0,0,0,0
JAN JUC,0,1,4,0,0,0,0,0
WINTER VALLEY,0,0,1,0,0,0,0,0
CANADIAN,0,0,2,0,0,0,0,0
RYTHDALE,0,0,1,0,0,0,0,0
MOLIAGUL,0,0,2,0,0,0,0,0
KOOYONG,0,0,5,0,0,0,0,7
MAIN RIDGE,0,0,2,0,0,0,0,0
BINGINWARRI,0,0,1,0,0,0,0,0
EAST MELBOURNE,2,1,17,1,1,0,0,32
EBDEN,0,0,2,0,0,0,0,0
IRREWILLIPE,0,0,1,0,0,0,0,0
MAMBOURIN,0,0,1,0,0,0,0,0
WILLIAMS LANDING,0,0,1,1,0,0,0,27
BRADVALE,0,0,1,0,0,0,0,0
TAHARA BRIDGE,0,0,1,0,0,0,0,0
BIRDWOODTON,0,0,2,0,0,0,0,0
PURA PURA,0,0,1,0,0,0,0,0
GOLDSBOROUGH,0,0,1,0,0,0,0,0
COBRICO,0,0,1,0,0,0,0,0
JANCOURT EAST,0,0,2,0,0,0,0,0
SCOTTS CREEK,0,0,1,0,0,0,0,0
PORT CAMPBELL,0,0,7,0,1,0,0,0
SKIBO,0,0,1,0,0,0,0,0
GUNDOWRING,0,0,1,0,0,0,0,0
RED HILL SOUTH,0,0,2,0,0,0,0,0
PORTSEA,0,1,17,0,0,0,0,13
TORRITA,0,0,1,0,0,0,0,0
TUERONG,0,0,3,0,0,0,0,0
CULLULLERAINE,0,0,1,0,0,0,0,0
WANDANA HEIGHTS,0,0,2,0,0,0,0,0
BREAKWATER,0,0,3,0,0,0,0,0
MUNRO,0,0,1,0,0,0,0,0
TREMONT,0,0,4,0,0,0,0,6
LAVERTON NORTH,0,0,3,0,0,0,0,43
BLAIRGOWRIE,0,0,16,0,0,0,0,27
KILLARA,0,0,3,0,0,0,0,0
EAGLEMONT,0,0,2,0,0,0,0,7
SOUTH GEELONG,1,0,7,0,0,0,0,0
HEATHMERE,0,0,2,0,0,0,0,0
NARINGAL EAST,0,0,1,0,0,0,0,0
BIG DESERT,0,0,1,0,0,0,0,0
FLINDERS,1,0,7,0,0,0,0,5
SAFETY BEACH,0,0,5,1,0,0,0,16
MERRICKS,0,0,3,0,0,0,0,0
MOUNT COTTRELL,0,0,4,0,0,0,0,0
CAPE OTWAY,0,0,3,0,0,0,0,0
TOWANINNY,0,0,1,0,0,0,0,0
EAST BAIRNSDALE,2,0,3,0,0,0,0,0
LAKE BUNGA,0,0,1,0,0,0,0,0
KALIMNA,0,0,2,0,0,0,0,0
RAYMOND ISLAND,0,1,1,0,0,0,0,0
LAKE TYERS BEACH,0,0,2,0,0,0,0,0
MOUNT RICHMOND,0,0,3,0,0,0,0,0
HOMERTON,0,0,2,0,0,0,0,0
TYRENDARRA,0,0,1,0,0,0,0,0
DIGBY,0,0,2,0,0,0,0,0
WOODVALE,0,0,1,0,0,0,0,0
MANGALORE,0,1,1,0,0,0,0,0
NYERIMILANG,0,0,3,0,0,0,0,0
WINGAN RIVER,0,1,3,0,0,0,0,0
CASTLE CREEK,0,0,1,0,0,0,0,0
CUDGEWA,0,1,1,0,0,0,0,0
CAMBARVILLE,0,0,1,0,0,0,0,0
WATTLE BANK,0,0,1,0,0,0,0,0
PORT ALBERT,0,2,9,0,0,0,0,0
TINTALDRA,0,1,4,0,0,0,0,0
BONNIE BROOK,0,0,1,0,0,0,0,0
BEENAK,0,0,1,0,0,0,0,0
FAIRY DELL,0,0,1,0,0,0,0,0
GENTLE ANNIE,0,0,1,0,0,4,0,0
WULGULMERANG EAST,0,0,2,0,0,0,0,0
MCLOUGHLINS BEACH,0,0,2,0,0,0,0,0
GONG GONG,0,0,1,0,0,0,0,0
INGLISTON,0,0,1,0,0,0,0,0
HOTSPUR,0,0,8,0,0,0,0,0
BAYINDEEN,0,2,1,0,0,0,0,0
YIELIMA,0,0,1,0,0,0,0,0
MONGANS BRIDGE,0,0,1,0,0,0,0,0
MOUNT BULLER,0,0,4,0,0,0,0,0
WHARPARILLA,0,0,4,0,0,0,0,0
BALNARRING BEACH,0,0,3,0,0,0,0,0
ZUMSTEINS,0,0,5,0,0,0,0,0
CATHCART,0,0,1,0,0,0,0,0
SUGGAN BUGGAN,0,0,1,0,0,0,0,0
BAW BAW,0,0,2,0,0,0,0,0
TEDDYWADDY,0,0,1,0,0,0,0,0
PERCYDALE,0,1,1,0,0,0,0,0
CHINKAPOOK,0,0,1,0,0,0,0,0
VENTNOR,0,1,12,0,0,0,0,0
BOCHARA,0,0,1,0,0,0,0,0
CONNEWARRE,0,0,5,0,0,0,0,0
BUSHFIELD,0,0,1,0,0,0,0,0
JOHANNA,0,0,2,0,0,0,0,0
CHUTE,0,0,2,0,0,0,0,0
BETLEY,0,0,1,0,0,0,0,0
COBBERAS,0,0,1,0,0,0,0,0
YARROWEYAH,0,0,1,0,0,0,0,0
RIVERSIDE,0,0,1,0,0,0,0,0
DRUNG,0,0,1,0,0,0,0,0
DURHAM OX,0,0,1,0,0,0,0,0
CALIVIL,0,0,1,0,0,0,0,0
YARRAWALLA,0,0,1,0,0,0,0,0
SERPENTINE,0,1,3,0,0,0,0,0
MURRINDINDI,0,0,4,0,0,0,0,0
GRAMPIANS,0,0,2,0,0,0,0,0
REEDY LAKE,0,0,1,0,0,0,0,0
WOODSIDE BEACH,0,0,2,0,0,0,0,0
KOONOOMOO,0,0,8,0,0,0,0,0
KARDELLA SOUTH,0,0,2,0,0,0,0,0
ROCKLANDS,0,0,1,0,0,0,0,0
CAPE SCHANCK,0,0,4,0,0,0,0,0
LINDSAY,0,0,1,0,0,0,0,0
BARRAPORT,0,0,1,0,0,0,0,0
HOTHAM HEIGHTS,2,0,1,0,0,0,0,0
INVERMAY PARK,0,0,2,0,0,0,0,0
GREENS CREEK,0,0,1,0,0,0,0,0
WALDARA,0,0,2,0,0,0,0,0
KILLINGWORTH,0,0,1,0,0,0,0,0
FUMINA SOUTH,0,0,1,0,0,0,0,0
MONTGOMERY,0,0,1,0,0,0,0,0
TRAFALGAR SOUTH,0,0,1,0,0,0,0,0
VENUS BAY,0,0,1,0,0,0,0,0
BAW BAW VILLAGE,0,0,1,0,1,0,0,0
CATHKIN,0,0,1,0,0,0,0,0
SUMMERLANDS,0,1,6,0,0,0,0,0
BRUMBY,0,0,2,0,0,0,0,0
BLACKWARRY,0,0,1,0,0,0,0,0
TURTONS CREEK,0,0,1,0,0,0,0,0
WALLACE,1,0,1,0,0,0,0,0
WALHALLA,0,0,2,0,0,0,0,0
MARYKNOLL,0,0,1,0,0,0,0,0
CRANBOURNE SOUTH,0,0,1,0,0,0,0,7
BAMAWM,0,0,1,0,0,0,0,0
CHILTERN VALLEY,0,0,1,0,0,0,0,0
FERNBANK,0,0,1,0,0,0,0,0
FERNSHAW,0,0,2,0,0,0,0,2
TOORONGO,1,0,2,0,0,0,0,0
IGUANA CREEK,0,0,2,0,0,0,0,0
EPPALOCK,0,0,4,0,0,0,0,0
EARLSTON,0,0,1,0,0,0,0,0
NORTH SHORE,0,3,2,0,0,0,0,0
RANCEBY,0,0,1,0,0,0,0,0
PINE LODGE,0,0,1,0,0,0,0,0
CAPE WOOLAMAI,0,1,3,0,0,0,0,0
SOUTH KINGSVILLE,2,0,1,0,0,0,0,19
LAKE EILDON,0,0,15,0,0,0,0,0
TRENTHAM EAST,0,0,1,0,0,0,0,0
BONANG,0,0,1,0,0,0,0,0
TONGIO,0,0,1,0,0,0,0,0
COBRAM EAST,0,0,4,0,0,0,0,0
SMITHS GULLY,0,0,2,0,0,0,0,0
DEDDICK VALLEY,0,0,2,0,0,0,0,0
KILCUNDA,0,0,3,0,0,0,0,0
BURNEWANG,0,0,1,0,0,0,0,0
LIMESTONE,0,0,1,0,0,0,0,0
SEDDON,0,0,1,0,0,0,0,19
HARMERS HAVEN,0,0,3,0,0,0,0,0
CAPE CONRAN,0,0,4,0,0,0,0,0
KAMAROOKA,0,0,2,0,0,0,0,0
BEREMBOKE,0,0,1,0,0,0,0,0
MARYVALE,0,1,1,0,0,1,0,0
MOUNT CAMEL,0,0,1,0,0,0,0,0
SHADY CREEK,0,0,1,0,0,0,0,0
BLACKWOOD,1,1,1,0,0,0,0,0
MILLTOWN,0,0,1,0,0,0,0,0
MOYARRA,0,0,17,0,0,0,0,0
COTTLES BRIDGE,1,1,1,0,0,0,0,0
STUART MILL,0,0,1,0,0,0,0,0
SERVICETON,0,0,2,0,0,0,0,0
COBBLEBANK,0,0,3,0,0,0,0,3
WEIR VIEWS,0,0,3,0,0,0,0,0
WONNANGATTA,0,0,1,0,0,0,0,0
CHANDLERS CREEK,0,0,1,0,0,0,0,0
KALLISTA,1,0,1,0,0,0,0,5
ARCHERTON,1,0,1,0,0,0,0,0
BRENANAH,0,0,1,0,0,0,0,0
CURLEWIS,0,0,1,0,0,0,0,0
PRINCETOWN,0,1,3,0,0,0,0,0
GLENALADALE,0,0,1,0,0,0,0,0
BRODRIBB RIVER,0,0,1,0,0,0,0,0
PINE GROVE,0,0,1,0,0,0,0,0
TRAFALGAR EAST,0,0,1,0,0,0,0,0
EAGLEHAWK NORTH,0,0,1,0,0,0,0,0
CHESHUNT SOUTH,0,0,2,0,0,0,0,0
MOORILIM,0,0,1,0,0,0,0,0
COBBANNAH,0,0,1,0,0,0,0,0
HUMEVALE,0,0,1,0,0,0,0,12
GLEN HUNTLY,2,0,1,0,1,0,0,7
AIRE VALLEY,0,0,1,0,0,0,0,0
BOLTON,0,0,1,0,0,0,0,0
LOGAN,0,0,1,0,0,0,0,0
KINGOWER,0,0,1,0,0,0,0,0
ARNOLD WEST,0,0,1,0,0,0,0,0
WOODSTOCK ON LODDON,0,0,1,0,0,0,0,0
BRIDGEWATER,0,0,1,0,0,0,0,0
MAINDAMPLE,0,0,1,0,0,0,0,0
MOUNT COLE,0,0,2,0,0,0,0,0
ST ALBANS PARK,1,0,7,0,0,0,0,0
MARSHALL,0,0,2,0,0,0,0,0
KANAGULK,0,0,1,0,0,0,0,0
CLONBINANE,1,0,1,0,0,0,0,0
GHIN GHIN,0,0,1,0,0,0,0,0
CAPE PATERSON,0,0,7,0,0,0,0,0
JEERALANG JUNCTION,0,0,2,0,0,0,0,0
MERRICKS BEACH,0,0,1,0,0,0,0,0
DOBIE,0,0,1,0,0,0,0,0
DRUMBORG,0,1,1,0,0,0,0,0
ONDIT,0,0,1,0,0,0,0,0
COOMA,0,0,1,0,0,0,0,0
DEVILS RIVER,0,0,7,0,0,0,0,0
CORONET BAY,0,0,1,0,0,0,0,0
GOBUR,0,1,1,0,0,0,0,0
NARRAPORT,0,0,1,0,0,0,0,0
TOOLONDO,0,0,1,0,0,0,0,0
TUROAR,0,0,1,0,0,0,0,0
STAGHORN FLAT,0,0,1,0,0,0,0,0
NELSE,0,0,2,0,0,0,0,0
BILLABONG,0,0,1,0,0,0,0,0
WONGARRA,0,0,3,0,0,0,0,0
MYSTIC PARK,0,0,1,0,0,0,0,0
KIATA,0,0,1,0,0,0,0,0
CORNDALE,0,0,1,0,0,0,0,0
GLENLOGIE,0,0,1,0,0,0,0,0
EUREKA,0,0,2,0,0,0,0,0
KALORAMA,0,0,2,0,0,0,0,16
MELBOURNE AIRPORT,1,2,1,0,0,0,0,11
NORTH GEELONG,0,4,5,0,0,0,0,0
YANAKIE,0,0,3,0,0,0,0,0
WANGANDARY,0,0,1,0,0,0,0,0
MININERA,0,0,1,0,0,0,0,0
RHYMNEY,0,0,1,0,0,0,0,0
RICH AVON,0,0,1,0,0,0,0,0
MOORALLA,0,0,1,0,0,0,0,0
WARTOOK,0,0,1,0,0,0,0,0
ULLINA,0,0,1,0,0,0,0,0
GELLIBRAND,0,0,1,0,0,0,0,0
WAIL,0,0,1,0,0,0,0,0
COORIEMUNGLE,0,0,1,0,0,0,1,0
POWERS CREEK,0,0,1,0,0,0,0,0
GOONGERAH,0,0,1,0,0,0,0,0
STRATHMORE HEIGHTS,0,0,1,0,0,0,0,10
BREAMLEA,0,0,3,0,0,0,0,0
KORIELLA,0,0,1,0,0,0,0,0
BORUNG,0,0,2,0,0,0,0,0
GLENALBYN,0,0,1,0,0,0,0,0
SKINNERS FLAT,0,0,1,0,0,0,0,0
GLENAIRE,0,0,4,0,0,0,0,0
DAISY HILL,0,0,1,0,0,0,0,0
DERGHOLM,0,0,1,0,0,0,0,0
ROSES GAP,0,0,1,0,0,0,0,0
FYANS CREEK,0,0,1,0,0,0,0,0
WOOSANG,0,0,1,0,0,0,0,0
PETERBOROUGH,0,0,6,0,1,0,0,0
BREAKAWAY CREEK,0,0,1,0,0,0,0,0
MARLBED,0,0,1,0,0,0,0,0
DINGWALL,0,0,1,0,0,0,0,0
LACEBY,0,0,1,0,0,0,0,0
CREIGHTONS CREEK,0,0,1,0,0,0,0,0
SWANWATER WEST,0,0,1,0,0,0,0,0
BURKES BRIDGE,0,0,1,0,0,0,0,0
BARRAPORT WEST,0,0,1,0,0,0,0,0
MARNOO EAST,0,0,1,0,0,0,0,0
MURPHYS CREEK,0,0,1,0,0,0,0,0
HATTAH,0,0,1,0,0,0,0,0
TELANGATUK EAST,0,0,1,0,0,0,0,0
GOLDEN BEACH,0,0,2,0,0,0,0,0
MERRIMU,0,0,2,0,0,0,0,0
WAIREWA,0,0,1,0,0,0,0,0
STRADBROKE,0,0,1,0,0,0,0,0
THORNHILL PARK,0,0,1,0,0,0,0,0
WYUNA,0,0,1,0,0,0,0,0
POINT LEO,0,0,3,0,0,0,0,2
NEWLANDS ARM,0,0,2,0,0,0,0,0
NANGEELA,0,0,1,0,0,0,0,0
CLIFTON SPRINGS,2,0,9,0,0,0,0,0
MERRICKS NORTH,0,0,1,0,0,0,0,0
WHIPSTICK,0,0,1,0,0,0,0,0
BELLS BEACH,0,0,3,0,0,0,0,0
CORNISHTOWN,0,0,1,0,0,0,0,0
BASS,1,1,1,0,1,0,0,0
WAITCHIE,0,0,1,0,0,0,0,0
WALLACEDALE,0,0,1,0,0,0,0,0
WANDOWN,0,0,1,0,0,0,0,0
WANGIE,0,0,1,0,0,0,0,0
GATEWAY ISLAND,0,0,1,0,0,0,0,0
SAILORS FALLS,0,0,1,0,0,0,0,0
NUG NUG,0,0,1,0,0,0,0,0
SHOREHAM,0,0,3,0,0,0,0,4
WANNON,0,0,1,0,0,0,0,0
MIRRANATWA,0,0,1,0,0,0,0,0
BAMBRA,0,0,2,0,0,0,0,0
WATSONS CREEK,0,0,1,0,0,0,0,0
NUTFIELD,0,0,1,0,0,0,0,0
NAVIGATORS,0,0,1,0,0,0,0,0
BINDI,0,0,1,0,0,0,0,0
TARRA VALLEY,0,0,1,0,0,0,0,0
MCCRAE,1,0,1,0,0,0,0,30
ENFIELD,0,0,2,0,0,0,0,0
WEATHERBOARD,0,0,1,0,0,0,0,0
KEVINGTON,0,0,1,0,0,0,0,0
LONG FOREST,0,0,1,0,0,0,0,0
ERICA,1,0,0,0,1,1,0,0
SANDY POINT,1,0,1,0,0,0,0,0
MUCKLEFORD,2,0,0,0,0,0,0,0
HUNTINGDALE,1,0,0,0,0,0,0,6
MOORABBIN AIRPORT,1,1,0,0,0,0,0,5
CREMORNE,1,0,1,2,1,0,0,10
HMAS CERBERUS,1,0,1,1,0,0,0,3
MURRABIT WEST,1,0,0,0,0,0,0,0
BELLBRIDGE,1,0,0,0,0,0,0,0
ST KILDA WEST,1,0,0,0,0,0,0,9
NORTH WARRANDYTE,1,0,0,1,0,0,0,22
PURNIM WEST,1,0,0,0,0,0,0,0
HADDON,1,0,0,0,0,0,0,0
LAKE GARDENS,3,0,1,0,0,0,0,0
AVONSLEIGH,1,0,0,0,0,0,0,0
EAST SALE,1,1,0,1,0,0,0,0
CORUNNUN,1,0,0,0,0,0,0,0
EAST BENDIGO,1,1,0,0,0,0,0,0
MCKINNON,1,0,0,0,0,0,0,22
CHATSWORTH,1,0,0,0,0,0,0,0
KINGSVILLE,1,0,0,0,0,0,0,11
TOWONG,0,1,0,0,0,0,0,0
EUROBIN,0,2,1,0,0,0,0,0
HUON,0,1,0,0,0,0,0,0
PORT WELSHPOOL,0,3,0,0,0,0,0,0
COWANGIE,0,1,0,0,0,0,0,0
ELDORADO,0,1,0,0,0,0,0,0
ALLANS FLAT,0,1,0,0,0,0,0,0
