suburb,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation
DALLAS,13,1,2,0,0,0,0,20
CHARLTON,6,1,0,0,1,0,0,0
MYRTLEFORD,7,1,12,1,1,1,0,0
PORTLAND,14,6,14,1,1,0,0,0
RINGWOOD NORTH,8,0,13,0,0,0,0,63
SEYMOUR,11,1,6,1,1,0,0,0
COBDEN,3,1,6,0,1,0,0,0
ROSEBUD,8,2,19,0,1,0,0,103
MERBEIN,9,2,5,0,1,0,0,0
ST ALBANS,26,1,22,3,1,0,0,127
EDENHOPE,4,1,1,1,1,0,0,0
SUNBURY,23,2,14,1,1,0,0,228
SUNSHINE,11,1,12,0,0,0,0,91
DONCASTER,13,2,2,1,0,0,0,110
YARRAM,6,2,2,1,1,0,0,0
OUYEN,5,1,3,2,1,0,0,0
BEAUFORT,3,1,5,1,1,0,0,0
LILYDALE,14,2,2,1,1,0,0,111
YEA,5,1,2,2,1,0,0,0
MURRUMBEENA,6,1,3,0,1,0,0,49
WONTHAGGI,7,1,4,1,1,0,0,0
OCEAN GROVE,8,1,13,2,1,0,0,0
HAMILTON,25,1,9,3,1,0,0,0
ARARAT,11,3,10,2,1,0,0,0
HALLAM,6,0,2,1,0,0,0,55
BAKERY HILL,2,1,2,0,0,0,0,0
BALMORAL,1,0,3,1,1,0,0,0
WANTIRNA,11,1,2,1,0,0,0,45
WARRANDYTE,4,0,3,1,1,0,0,47
HEIDELBERG WEST,10,1,1,0,0,0,0,46
MOUNT EVELYN,12,0,2,0,1,0,0,44
MOUNT BEAUTY,4,1,4,1,1,0,0,0
RESEARCH,2,0,0,0,0,0,0,22
CAMPERDOWN,9,1,8,1,1,0,0,0
POOWONG EAST,1,0,0,0,0,0,0,0
KURUNJANG,3,0,10,1,0,0,0,37
KYABRAM,14,1,2,1,1,0,0,0
KYNETON,6,1,1,1,1,0,0,0
BAIRNSDALE,13,2,12,1,1,0,0,0
DARLEY,9,0,0,0,0,0,0,0
MADDINGLEY,3,0,1,1,0,0,0,0
BELMONT,11,1,22,1,0,0,0,0
FOSTER,4,1,2,1,1,0,0,0
YARRA JUNCTION,8,0,1,0,1,0,0,16
UPWEY,6,0,2,1,0,0,0,34
VERMONT,8,1,3,0,0,0,0,51
SOUTHBANK,5,1,4,1,0,0,0,37
NEWPORT,12,2,19,0,1,0,0,59
HEALESVILLE,8,1,8,1,1,0,0,41
HEIDELBERG,6,1,6,2,1,0,0,27
BELL PARK,7,0,5,0,0,0,0,0
QUEENSCLIFF,3,3,3,0,1,0,0,0
CLAYTON,12,2,3,5,1,0,0,81
MORDIALLOC,5,2,8,2,1,0,0,48
CHELTENHAM,16,3,5,5,1,0,0,138
BRUNSWICK EAST,5,1,15,0,0,0,0,52
BRUNSWICK WEST,11,1,14,2,0,0,0,77
WONGA PARK,3,1,6,1,0,0,0,29
DROMANA,4,2,14,0,1,0,0,51
DROUIN,7,1,3,0,1,0,0,0
ROXBURGH PARK,10,0,1,1,0,0,0,53
CHADSTONE,5,0,2,1,0,0,0,21
MULGRAVE,15,3,1,1,0,0,0,115
MOORABBIN,8,0,2,0,1,0,0,53
ASPENDALE,9,0,2,0,0,0,0,20
BALWYN NORTH,15,1,11,1,0,0,0,109
THOONA,2,0,1,0,0,0,0,0
WHEELERS HILL,21,0,4,1,1,0,0,105
CAULFIELD SOUTH,8,0,3,1,0,0,0,50
CAULFIELD,4,1,0,4,1,0,0,47
