suburb,livable,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation,BUS,TRAM STATION,TRAIN STATION
TEMPLESTOWE LOWER,4.05,0.0,2.0,1.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0
TOORAK,4.000000000000001,3.0,1.0,2.0,0.0,0.0,0.0,55.0,24.0,30.0,1.0
FRANKSTON NORTH,4.0,0.0,6.0,1.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0
ARARAT,4.0,3.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KEILOR,4.0,0.0,7.0,1.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0
NORLANE,4.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEIDELBERG,4.0,1.0,6.0,2.0,1.0,0.0,0.0,27.0,26.0,0.0,1.0
MYRTLEFORD,3.9999999999999996,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
TYABB,3.9499999999999997,1.0,9.0,1.0,0.0,0.0,0.0,16.0,15.0,0.0,1.0
CARNEGIE,3.9000000000000004,2.0,1.0,1.0,0.0,0.0,0.0,60.0,46.0,12.0,2.0
BROOKFIELD,3.9000000000000004,0.0,8.0,1.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0
ELWOOD,3.9000000000000004,1.0,5.0,0.0,1.0,0.0,0.0,44.0,39.0,5.0,0.0
PARKDALE,3.8500000000000005,0.0,4.0,3.0,0.0,0.0,0.0,34.0,33.0,0.0,1.0
KNOXFIELD,3.85,0.0,3.0,1.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0
DONVALE,3.8000000000000003,0.0,3.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0
STRATFORD,3.8,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BRIGHT,3.8,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMILTON,3.8,1.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEATHERTON,3.8,0.0,6.0,1.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0
HADFIELD,3.75,0.0,5.0,0.0,0.0,0.0,0.0,44.0,43.0,0.0,1.0
CAULFIELD,3.75,1.0,0.0,4.0,1.0,0.0,0.0,47.0,26.0,21.0,0.0
BENTLEIGH,3.7000000000000006,2.0,0.0,2.0,1.0,0.0,0.0,54.0,52.0,0.0,2.0
HALLAM,3.7,0.0,2.0,1.0,0.0,0.0,0.0,55.0,54.0,0.0,1.0
GEELONG,3.6999999999999997,6.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WEST MELBOURNE,3.6500000000000004,3.0,5.0,0.0,0.0,0.0,0.0,36.0,28.0,7.0,1.0
WARRANDYTE,3.65,0.0,3.0,1.0,1.0,0.0,0.0,47.0,47.0,0.0,0.0
CAPEL SOUND,3.6499999999999995,0.0,4.0,1.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0
MURRUMBEENA,3.6000000000000005,1.0,3.0,0.0,1.0,0.0,0.0,49.0,48.0,0.0,1.0
VERMONT,3.5500000000000003,1.0,3.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0
FITZROY,3.5,1.0,1.0,4.0,1.0,0.0,0.0,36.0,8.0,28.0,0.0
SOUTHBANK,3.45,1.0,4.0,1.0,0.0,0.0,0.0,37.0,11.0,26.0,0.0
TULLAMARINE,3.45,1.0,2.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0
MOORABBIN,3.4000000000000004,0.0,2.0,0.0,1.0,0.0,0.0,53.0,52.0,0.0,1.0
DIGGERS REST,3.4,0.0,9.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,1.0
VIEWBANK,3.4,0.0,6.0,1.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0
ALBERT PARK,3.3500000000000005,2.0,5.0,1.0,0.0,0.0,0.0,27.0,8.0,19.0,0.0
CHIRNSIDE PARK,3.35,0.0,2.0,1.0,0.0,0.0,0.0,49.0,49.0,0.0,0.0
TOOTGAROOK,3.35,0.0,5.0,1.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0
ALBION,3.3000000000000003,0.0,5.0,2.0,0.0,0.0,0.0,23.0,22.0,0.0,1.0
MERNDA,3.2500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,64.0,63.0,0.0,1.0
WANTIRNA,3.25,1.0,2.0,1.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0
HIGHETT,3.25,1.0,3.0,0.0,0.0,0.0,0.0,44.0,43.0,0.0,1.0
ROSANNA,3.2,1.0,2.0,1.0,0.0,0.0,0.0,43.0,42.0,0.0,1.0
MONTROSE,3.2,0.0,4.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0
CLIFTON HILL,3.1500000000000004,0.0,7.0,0.0,0.0,0.0,0.0,20.0,16.0,3.0,1.0
KEW EAST,3.1500000000000004,1.0,4.0,0.0,0.0,0.0,0.0,37.0,28.0,9.0,0.0
CAIRNLEA,3.15,0.0,6.0,2.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0
MARYSVILLE,3.15,0.0,10.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0
WATSONIA,3.1,0.0,4.0,1.0,0.0,0.0,0.0,31.0,30.0,0.0,1.0
HORSHAM,3.1,1.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FAIRFIELD,3.1,1.0,1.0,2.0,0.0,0.0,0.0,41.0,40.0,0.0,1.0
BURNSIDE,3.0500000000000003,0.0,7.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0
AINTREE,3.0500000000000003,0.0,7.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0
MOUNT DANDENONG,3.05,0.0,4.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0
SEAHOLME,3.05,0.0,9.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0
ELSTERNWICK,3.0000000000000004,1.0,0.0,0.0,1.0,0.0,0.0,55.0,41.0,13.0,1.0
DERRIMUT,3.0,0.0,6.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0
PANTON HILL,2.9999999999999996,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOUNT EVELYN,2.9000000000000004,0.0,2.0,0.0,1.0,0.0,0.0,44.0,44.0,0.0,0.0
BALNARRING,2.9,0.0,8.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
CAMPERDOWN,2.9,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MACLEOD,2.85,0.0,1.0,2.0,0.0,0.0,0.0,38.0,37.0,0.0,1.0
BITTERN,2.85,0.0,8.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,1.0
CARLTON NORTH,2.85,1.0,3.0,0.0,0.0,0.0,0.0,37.0,21.0,16.0,0.0
BENDIGO,2.8,2.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
EDITHVALE,2.75,0.0,3.0,1.0,0.0,0.0,0.0,30.0,29.0,0.0,1.0
STRATHMORE,2.7,0.0,2.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0
GROVEDALE,2.6999999999999997,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEMBROOK,2.6999999999999997,0.0,6.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0
